0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events,discovery events,discovery events,discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image
,,CONARTDaksinaKosala000030,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000031,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000032,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000033,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000034,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000035,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000036,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000037,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000038,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000039,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000040,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000041,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000042,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000043,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000044,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000045,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000046,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000047,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000048,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000049,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000050,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000051,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000052,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000053,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000054,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000055,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
,,CONARTDaksinaKosala000056,,,,,,,,DHARMA,DaksinaKosala,CC0,CONARTDaksinaKosala000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,
